,,,,,,,"  46,901 ",  659.20 ,,,"  688,810 ","  138,240 ","  72,476 ","  17,000 ",,"  916,526 ",,,,,
Bill Date,Dispatch Date,Delay,INVOICE NO,E-Waybill Number,Party Name,Town,Case, Net Weight in MT,Vehicle Number,Vehicle Type, Freight, Extra Freight, Labour, Detention,LR no.,Transport Name,Remarks,Acknwoledgement Status,,,
18/Apr/26,20/Apr/26,1,TX271030000115,302233257348,AVENUE SUPERMARTS LTD,LUDHIANA,48,  0.71 ,,,,,  240 ,,23631,NEW SODHI,Club With LR 23630,RECD,,,
18/Apr/26,20/Apr/26,,TX271030000113,302233820434,AVENUE SUPERMARTS LTD,NAWANSHAHR,40,  0.63 , PB10CZ1968,1,"  1,800 ",  600 ,  240 ,,23632,NEW SODHI,,RECD,,,
20/Apr/26,20/Apr/26,,TX271030000118,392233816597,VIKASH TRADING COMPANY,CHANDIGARH,145,  2.10 ,PB11BA-5983,3,"  4,000 ",  -   ,  -   ,,23635,NEW SODHI,,RECD,,,
20/Apr/26,20/Apr/26,,TX271030000120,382233817344,VIKASH TRADING COMPANY,CHANDIGARH,60,  0.90 ,,,,,,,,NEW SODHI,,,,,
20/Apr/26,21/Apr/26,,TX271030000119,342234678540,BLINK COMMERCE PRIVATE LIMITED,SHAMBHU,99,  2.97 ,PB10GY-7337,3,"  3,400 ",  200 ,  990 ,,23642,NEW SODHI,,RECD,,,
20/Apr/26,21/Apr/26,,TX271030000121,392234554683,AVENUE SUPERMARTS LIMITED,MOHALI,152,  2.95 ,PB10JP-8564,6,"  4,200 ","  1,000 ","  1,215 ",,23639/23638,NEW SODHI,CLUB WITH LR 23638,RECD,,,
20/Apr/26,21/Apr/26,,TX271030000122,352234553802,AVENUE SUPERMARTS LIMITED,MOHALI,34,  0.57 ,,,,,,,,NEW SODHI,CLUB WITH LR 23639,RECD,,,
20/Apr/26,21/Apr/26,,TX271030000124,362234557740,SAI ENTERPRISES,RAMPURA,266,  3.99 ,PB06G-2315,6,"  4,400 ","  1,100 ",  -   ,,17450,NEW SODHI,,RECD,,,
20/Apr/26,21/Apr/26,,TX271030000125,322234589697,BHARAT BHUSHAN & SONS,MOGA,126,  1.64 ,PB11CN-8710,3,"  2,400 ",  -   ,  -   ,,23641,NEW SODHI,CLUB WITH BUNGE,RECD,,,
20/Apr/26,21/Apr/26,,TX271030000126,392234556704,M.S AGRO FOODS,AMRITSAR,701,  8.74 ,PB10HC-3852,9,"  6,550 ","  2,450 ",  -   ,,23636,NEW SODHI,,RECD,,,
21/Apr/26,21/Apr/26,,TX271030000127,312234555851,OM PRAKASH DEV RAJ,JALANDHAR,422,  5.41 ,PB10FV-3689,6,"  3,500 ",  500 ,  -   ,,23637,NEW SODHI,,RECD,,,
21/Apr/26,21/Apr/26,,TX271030000129,312234566811,ADARSH TRADERS,HOSHIARPUR,10,  0.90 ,PB07CD-3802,1,"  2,500 ",  -   ,  -   ,,23640,NEW SODHI,,RECD,,,
21/Apr/26,21/Apr/26,,TX271030000130,322234567507,ADARSH TRADERS,HOSHIARPUR,60,  1.01 ,,,,,,,,NEW SODHI,,,,,
21/Apr/26,22/Apr/26,,TX271030000131,302235402876,M.S AGRO FOODS,AMRITSAR,625,  8.27 ,PB02CR-3876,9,"  6,550 ","  2,450 ",  -   ,,23649,NEW SODHI,,RECD,,,
21/Apr/26,22/Apr/26,,TX271030000132,342235404861,SHANKAR SINGH GURUCHARAN SINGH,TALWARA,5,  0.15 ,PB02BV-9960,3,"  4,300 ",  700 ,  -   ,,23648,NEW SODHI,,RECD,,,
21/Apr/26,22/Apr/26,,TX271030000133,342235404861,SHANKAR SINGH GURUCHARAN SINGH,TALWARA,230,  3.02 ,,,,,,,,NEW SODHI,,,,,
21/Apr/26,22/Apr/26,,TX271030000134,342235172661,CSD JALANDHAR,JALANDHAR,340,  3.64 ,PB11CN-8710,9,"  4,400 ","  2,900 ","  3,400 ","  1,500 ",23645,NEW SODHI,1 DAY DETAINTIONS,RECD,1 DAY DETAINTIONS,1500,
21/Apr/26,22/Apr/26,,TX271030000135,342235173268,CSD JALANDHAR,JALANDHAR,340,  3.64 ,,,,,,,,NEW SODHI,,,,,
21/Apr/26,22/Apr/26,,TX271030000136,312235171359,CSD JALANDHAR,JALANDHAR,332,  5.93 ,PB08BB-9296,6,"  3,500 ","  2,500 ","  1,660 ","  1,500 ",23646,NEW SODHI,1 DAY DETAINTIONS,RECD,1 DAY DETAITIONS,1500,
21/Apr/26,23/Apr/26,,TX271030000137,322235898237,CSD BATHINDA,BATHINDA,142,  1.92 ,PB03BT-2661,6,"  5,200 ","  1,300 ","  1,480 ",,23654,NEW SODHI,,RECD,,,
22/Apr/26,23/Apr/26,,TX271030000153,332235896854,CSD BATHINDA,BATHINDA,121,  2.19 ,,,,,,,,NEW SODHI,,,,,
22/Apr/26,23/Apr/26,,TX271030000154,342235897508,CSD BATHINDA,BATHINDA,33,  0.66 ,,,,,,,,NEW SODHI,,,,,
25/Apr/26,25/Apr/26,,TX271030000203,362237735471,CSD JALANDHAR,JALANDHAR,334,  0.36 ,PB10HC-3852,9,"  4,300 ","  1,700 ","  1,705 ","  3,000 ",23677,NEW SODHI,,RECD,,,
25/Apr/26,25/Apr/26,,TX271030000202,3122377364411,CSD JALANDHAR,JALANDHAR,,  0.13 ,,,,,,,,NEW SODHI,2 DAY DETAINTIONS,,2  DAY DITAINTION,3000,
21/Apr/26,25/Apr/26,,TX271030000138,362237738342,CSD JALANDHAR,JALANDHAR,,  5.93 ,,,,,,,,NEW SODHI,,,,,
21/Apr/26,22/Apr/26,,TX271030000139,352235174701,CSD PATHANKOT,PATHANKOT,775,  8.30 ,PB10FF-4133,18,"  13,296 ","  6,704 ","  7,755 ",,23643,NEW SODHI,CLUB WITH LR 23644,Pending,,,
21/Apr/26,22/Apr/26,,TX271030000140,312235173988,CSD PATHANKOT,PATHANKOT,776,  8.32 ,,,,,,,23644,NEW SODHI,CLUB WITH LR 23643,Pending,,,
22/Apr/26,22/Apr/26,,TX271030000141,332235607946,ARORA FLOUR & OIL MILLS,PATHANKOT,460,  5.98 ,PB10FV-3689,6,"  6,700 ","  1,800 ",  -   ,,23652,NEW SODHI,,RECD,,,
22/Apr/26,22/Apr/26,,TX271030000142,362235611134,SATKARTAR TRADING CO.,JALANDHAR,180,  2.57 ,PB10GY-7337,3,"  2,500 ",  -   ,  -   ,,23653,NEW SODHI,,RECD,,,
22/Apr/26,22/Apr/26,,TX271030000144,322235611311,SATKARTAR TRADING CO.,JALANDHAR,20,  0.20 ,,,,,,,,NEW SODHI,,,,,
22/Apr/26,22/Apr/26,,TX271030000158,342235610848,SATKARTAR TRADING CO.,JALANDHAR,5,  0.80 ,,,,,,,,NEW SODHI,,,,,
22/Apr/26,23/Apr/26,,TX271030000143,362236045256,M.S AGRO FOODS,AMRITSAR,135,  2.06 ,PB08EU-5837,3,"  4,044 ",  456 ,  -   ,,23657,NEW SODHI,,RECD,,,
22/Apr/26,23/Apr/26,,TX271030000156,322236043542,M.S AGRO FOODS,AMRITSAR,80,  0.72 ,,,,,,,,NEW SODHI,,,,,
23/Apr/26,23/Apr/26,,TX271030000164,302236044354,M.S AGRO FOODS,AMRITSAR,15,  0.45 ,,,,,,,,NEW SODHI,,,,,
22/Apr/26,24/Jul/26,,TX271030000145,332236928578,AVENUE SUPERMARTS LIMITED,PEER MUCHALLA,89,  1.93 ,PB10GY-7337,3,"  3,600 ",  700 ,"  1,015 ",,23659,NEW SODHI,CLUB WITH LR 23663,RECD,,,
23/Apr/26,24/Apr/26,,TX271030000163,392236931305,BLINK COMMERCE PRIVATE LIMITED,SHAMBHU,34,  1.02 ,PB10GY-7337,3,,,,,23663,NEW SODHI,CLUB WITH LR23659,,,,
22/Apr/26,22/Apr/26,,TX271030000146,372235219280,METRO CASH & CARRY PVT LTD,AMRITSAR,44,  0.74 ,PB10CZ-1968,1,  -   ,  -   ,  -   ,,23647,NEW SODHI,INVOICE CANCEL ,RECD,,,
22/Apr/26,23/Apr/26,,TX271030000147,322236047601,SCOOTSY LOGISTICS PRIVATE LIMITED,BANUR,135,  3.59 ,PB06G-2315,6,"  4,300 ",  700 ,"  1,624 ","  1,000 ",23655,NEW SODHI,1  DAY DETAINTIONS,RECD,1  DAY DETAINTIONS,1000,
22/Apr/26,22/Apr/26,,TX271030000148,322235456064,S S CORPORATION,LUDHIANA,20,  0.60 ,PB10HL-0339,1,"  1,000 ",  -   ,  -   ,,23651,NEW SODHI,,RECD,,,
22/Apr/26,22/Apr/26,,TX271030000150,322235455074,S S CORPORATION,LUDHIANA,3,  0.28 ,,,,,,,,NEW SODHI,,,,,
22/Apr/26,22/Apr/26,,TX271030000155,332235457325,S S CORPORATION,LUDHIANA,50,  0.45 ,,,,,,,,NEW SODHI,,,,,
22/Apr/26,22/Apr/26,,TX271030000151,312235458223,S S CORPORATION,LUDHIANA,2,  0.25 ,,,,,,,,NEW SODHI,,,,,
22/Apr/26,22/Apr/26,,TX271030000159,372235459758,S S CORPORATION,LUDHIANA,9,,,,,,,,,NEW SODHI,,,,,
22/Apr/26,22/Apr/26,,TX271030000149,392235406833,BHARAT BHUSHAN & SONS,MOGA,180,  3.02 ,PB10JP-8564,3,"  2,400 ","  1,000 ",  -   ,,  -   ,NEW SODHI,,RECD,,,
23/Apr/26,27/Apr/26,,TX271030000167,342238801212,CSD PATHANKOT,PATHANKOT,150,  1.41 ,PB10FF-4133,15,"  12,200 ","  5,800 ","  3,355 ","  3,000 ",23682,NEW SODHI,CLUBE WITH LR 23675,RECD,1 DAY DETAINTIONS,3000,
23/Apr/26,27/Apr/26,,TX271030000168,382238806967,CSD PATHANKOT,PATHANKOT,,  1.08 ,,,,,,,,NEW SODHI,,,,,
25/Apr/26,27/Apr/26,,TX271030000200,322238811103,CSD PATHANKOT,PATHANKOT,,,,,,,,,,NEW SODHI,2 DAY DETAINTIONS,,,,
25/Apr/26,27/Apr/26,,TX271030000199,382238813587,CSD PATHANKOT,PATHANKOT,,,,,,,,,,NEW SODHI,,,,,
22/Apr/26,25/Apr/26,,TX271030000152,332237668264,CSD PATHANKOT,PATHANKOT,521,  9.31 ,,,,,,,23675,NEW SODHI,CLUBE WITH LR23682,RECD,,,
22/Apr/26,25/Apr/26,,TX271030000160,322237665965,BHARAT BHUSHAN & SONS,MOGA,385,  6.05 ,PB06G-2315,6,"  3,400 ",  600 ,  -   ,,23673,NEW SODHI,,RECD,,,
23/Apr/26,25/Apr/26,,TX271030000166,372237301548,BILINK COMARCE,LUDHIANA,41,  0.98 ,PB10JP-8564,1,"  1,000 ",,  350 ,,23667,NEW SODHI,,RECD,,,
22/Apr/26,23/Apr/26,,TX271030000161,382236046271,BANARSI DASS TALWAR,AMRITSAR,220,  2.86 ,PB10JP-8564,3,"  4,044 ",  456 ,  -   ,,23656,NEW SODHI,RATH 13KG BALTI STOCK,RECD,,,
23/Apr/26,23/Apr/26,,TX271030000162,382236079376,VIJAY KUMAR SUSHIL KUMAR,GURDASPUR,230,  2.99 ,PB10HC-3852,6,"  5,700 ","  1,800 ",  -   ,,23658,NEW SODHI,RATH 13KG BALTI STOCK,RECD,,,
23/Apr/26,23/Apr/26,,TX271030000172,342236078582,VIJAY KUMAR SUSHIL KUMAR,GURDASPUR,240,  3.02 ,,,,,,,,NEW SODHI,,,,,
23/Apr/26,23/Apr/26,,TX271030000165,312236145449,CSD JALANDHAR,JALANDHAR,100,  1.35 ,PB02BV9960,3,"  3,000 ",  -   ,  735 ,"  1,000 ",23660,NEW SODHI,1 DAYDETAINTIONS,RECD,1 DAYDETAINTIONS,1000,
23/Apr/26,23/Apr/26,,TX271030000157,322236144283,CSD JALANDHAR,JALANDHAR,71,  1.39 ,,,,,,,,NEW SODHI,,,,,
23/Apr/26,24/Apr/26,,TX271030000174,362236985189,MITTAL SALE CORPORATION,JALANDHAR,660,  8.99 ,PB08BB-9296,9,"  4,400 ",  600 ,  -   ,,23664,NEW SODHI,,RECD,,,
24/Apr/26,24/Apr/26,,TX271030000179,372237106696,M.S AGRO FOODS,AMRITSAR,660,  9.07 ,PB10HC-3852,9,"  6,550 ","  2,450 ",  -   ,,23666,NEW SODHI,,RECD,,,
23/Apr/26,24/Apr/26,,TX271030000176,342237054804,PARDEEP TRADING CO,MANSHA,190,  3.01 ,PB19H-9095,3,"  4,100 ",  900 ,  -   ,,23665,NEW SODHI,,RECD,,,
23/Apr/26,24/Apr/26,,TX271030000178,312237259343,ARORA FLOUR & OIL MILLS,PATHANKOT,20,  0.60 ,PB08FB-4399,3,"  5,100 ",  900 ,  -   ,,23661,NEW SODHI,,RECD,,,
23/Apr/26,24/Apr/26,,TX271030000170,312237259132,ARORA FLOUR & OIL MILLS,PATHANKOT,154,  2.22 ,,,,,,,,NEW SODHI,,,,,
23/Apr/26,25/Apr/26,,TX271030000177,312237488385,SAI ENTERPRISES,RAMPURA,185,  3.11 ,PB08CX-7786,3,"  3,300 ",  300 ,  200 ,,23669,NEW SODHI,,RECD,,,
24/Apr/26,25/Apr/26,,TX271030000198,392237495699,AMAR SHIV SHAKTI TRADERS,SAMANA,530,  8.23 ,PB10FV-3689,9,"  6,500 ","  2,500 ",  -   ,,23668,NEW SODHI,,RECD,,,
23/Apr/26,25/Apr/26,,TX271030000173,352237629548,RELIANCE RETAIL LIMITED,SHAMBHU,30,  2.70 ,PB02BV-9960,3,"  3,400 ",  -   ,"  1,500 ",,23674,NEW SODHI,,RECD,,,
24/Apr/26,25/Apr/26,,TX271030000182,302237631379,AVENUE SUPERMARTS LIMITED,JALANDHAR,91,  0.92 ,PB10GY-7337,3,"  2,500 ",  500 ,  -   ,,23672,NEW SODHI,CLUB WITH LR 23670,RECD,,,
24/Apr/26,25/Apr/26,,TX271030000183,332237633358,AVENUE SUPERMARTS LIMITED,JALANDHAR,66,  0.71 ,,,,,,,23670,NEW SODHI,CLUB WITH LR 23672,RECD,,,
24/Apr/26,25/Apr/26,,TX271030000193,392237646354,METRO CASH &CARRY INDIA P LTD,JALANDHAR,5,  0.76 ,,,,,,,23676,NEW SODHI,CLUB WITH LR 23676,RECD,,,
24/Apr/26,25/Apr/26,,TX271030000189,382237632219,AVENUE SUPERMARTS P LTD,LUDHIANA,38,  0.51 ,PB10CZ1968,1,"  1,000 ",  -   ,  190 ,,23671,NEW SODHI,,RECD,,,
24/Apr/26,26/Apr/26,,TX271030000197,352238159862,BHARAT BHUSHAN & SONS,MOGA,200,  2.02 ,PB10FV-3689,6,"  3,400 ",  600 ,  -   ,,23679,NEW SODHI,,RECD,,,
24/Apr/26,26/Apr/26,,TX271030000196,342238160100,BHARAT BHUSHAN & SONS,MOGA,305,  4.58 ,,,,,,,,NEW SODHI,,,,,
24/Apr/26,26/Apr/26,,TX271030000192,372238158849,MORE RETAILPRIVETED LTD,BASSI PATHANA,23,  0.28 ,PB10CZ-1968,1,"  2,100 ",  -   ,  330 ,,23680,NEW SODHI,,RECD,,,
24/Apr/26,26/Apr/26,,TX271030000195,342238158444,MORE RETAILPRIVETED LTD,BASSI PATHANA,43,  0.55 ,,,,,,,,NEW SODHI,,,,,
25/Apr/26,26/Apr/26,,TX271030000203,362237735471,CSD JALANDHAR,JALANDHAR,2,  0.36 ,PB10HC-3852,9,"  4,400 ","  1,600 ","  1,705 ",,23677,NEW SODHI,,RECD,,,
21/Apr/26,26/Apr/26,,TX271030000138,362237738342,CSD JALANDHAR,JALANDHAR,332,  5.93 ,,,,,,,,NEW SODHI,,,,,
25/Apr/26,26/Apr/26,,TX271030000202,312237736411,CSD JALANDHAR,JALANDHAR,7,  0.13 ,,,,,,,,NEW SODHI,,,,,
25/Apr/26,26/Apr/26,,TX271030000205,362238017026,CSD PATHANKOT,PATHANKOT,522,  9.32 ,PB11CN-8710,9,"  8,500 ","  3,500 ","  2,610 ","  1,500 ",23681,NEW SODHI,1 DAY DETAINTIONS,Pending,1 DAY DETAINTIONS,1500,
24/Apr/26,27/Apr/26,,TX271030000180,302238642271,SAI ENTERPRISES,RAMPURA,10,  0.30 ,PB13BD-5065,6,"  5,700 ",  -   ,  -   ,,23678,NEW SODHI,CLUB WITH LR 23690,RECD,,,
23/Apr/26,27/Apr/26,,TX271030000175,382238646897,SAI ENTERPRISES,RAMPURA,175,  2.95 ,,,,,,,,NEW SODHI,,,,,
27/Apr/26,27/Apr/26,,TX271030000211,342238655325,SAI ENTERPRISES,RAMPURA,210,  2.73 ,,,,,,,23690,NEW SODHI,CLUB WITH LR 23678,RECD,,,
27/Apr/26,27/Apr/26,,TX271030000210,372238656231,SAI ENTERPRISES,RAMPURA,2,  0.33 ,,,,,,,,NEW SODHI,,,,,
24/Apr/26,27/Apr/26,,TX271030000190,372238666483,AVENUE SUPERMARTS LIMITED,PEER MUCHALLA,150,  1.51 ,PB10GY-7337,3,"  2,800 ",  -   ,  750 ,,23688,NEW SODHI,CLUB WITH EMAMI,RECD,,,
24/Apr/26,27/Apr/26,,TX271030000187,372238836680,AVENUE SUPERMARTS LIMITED,PATHANKOT,90,  1.18 ,PB10CZ-1968,1,"  4,100 ",  400 ,  450 ,,23685,NEW SODHI,,RECD,,,
27/Apr/26,27/Apr/26,,TX271030000209,372238826892,M.S AGRO FOODS,AMRITSAR,530,  6.20 ,PB10FV-3689,6,"  5,300 ","  2,700 ",  -   ,,23692,NEW SODHI,,RECD,,,
27/Apr/26,27/Apr/26,,TX271030000214,372238827907,OM PRAKASH DEV RAJ,JALANDHAR,5,  0.84 ,PB10JP-8564,6,"  6,550 ",  -   ,  -   ,,23691,NEW SODHI,CLUBE WITH LR 23683,RECD,,,
27/Apr/26,27/Apr/26,,TX271030000208,312238828762,OM PRAKASH DEV RAJ,JALANDHAR,240,  3.12 ,,,,,,,,NEW SODHI,CLUBE WITH LR 23683,,,,
24/Apr/26,27/Apr/26,,TX271030000186,312238889280,AVENUE SUPERMARTS LIMITED,AMRITSAR,51,  0.84 ,,,,,,,23683,NEW SODHI,CLUBE WITH LR 23688,RECD,,,
24/Apr/26,28/Apr/26,,TX271030000185,332239238908,AVENUE SUPERMARTS LIMITED,BATHINDA,52,  0.71 ,RJ13GC-2694,1,"  2,800 ","  1,500 ",  290 ,,23684,NEW SODHI,CLUB WITH LR 23689,RECD,,,
24/Apr/26,28/Apr/26,,TX271030000184,342239234587,AVENUE SUPERMARTS LIMITED,BARNALA,50,  0.70 ,RJ13GC-2694,,,,  280 ,,23689,NEW SODHI,CLUB WITH LR 23684,RECD,,,
24/Apr/26,28/Apr/26,,TX271030000191,312239237699,AVENUE SUPERMARTS LIMITED,BANUR,32,  0.31 ,PB04AB-7539,1,"  2,300 ","  1,300 ",  510 ,,23687,NEW SODHI,CLUB WITH LR 23686,RECD,,,
24/Apr/26,28/Apr/26,,TX271030000188,312239236290,AVENUE SUPERMARTS LIMITED,MOHALI,70,  0.73 ,,,,,,,23686,NEW SODHI,CLUB WITH LR 23687,RECD,,,
23/Apr/26,24/Apr/26,,TX271030000171,312236440058,MONGA TRADING CO.,FEROZPUR,230,  2.70 ,PB05AS-3153,3,"  3,700 ",  -   ,  -   ,,23662,NEW SODHI,,RECD,,,
27/Apr/26,28/Apr/26,,TX271030000215,342239396465,ARORA FLOUR & OIL MILLS,PATHANKOT,870,  8.57 ,PB10HC-3852,9,"  8,500 ","  3,500 ",  -   ,,23694,NEW SODHI,,RECD,,,
27/Apr/26,28/Apr/26,,TX271030000216,302239445723,RALLA RAM DEV RAJ,DINA NAGAR,230,  2.99 ,PB10FV-3689,6,"  6,100 ","  2,400 ",  -   ,,23695,NEW SODHI,,RECD,,,
27/Apr/26,28/Apr/26,,TX271030000218,372239446772,RALLA RAM DEV RAJ,DINA NAGAR,252,  3.28 ,,,,,,,,NEW SODHI,,,,,
27/Apr/26,28/Apr/26,,TX271030000213,342239444441,J P ENTERPRICES,AGRA,557,  8.36 ,UP80BT-9086,9,"  23,500 ",  -   ,  -   ,,23696,NEW SODHI,,RECD,,,
27/Apr/26,29/Apr/26,,TX271030000212,312240297187,BHARAT BHUSHAN & SONS,MOGA,256,  4.30 ,PB06G-2315,6,"  3,400 ",  600 ,  -   ,,23699,NEW SODHI,,RECD,,,
28/Apr/26,29/Apr/26,,TX271030000225,3422240299067,BHARAT BHUSHAN & SONS,MOGA,150,  1.68 ,,,,,,,,NEW SODHI,,,,,
28/Apr/26,29/Apr/26,,TX271030000224,3122400003191,BAKHTAWAR LAL ASHOK KUMAR,FEROZPUR,245,  3.04 ,PB05AS3153,3,"  3,700 ",  -   ,  -   ,,23697,NEW SODHI,,RECD,,,
29/Apr/26,29/Apr/26,,TX271030000235,342240323845,ADARSH TRADERS,HOSHIARPUR,5,  0.45 ,PB10GY-7337,3,"  3,000 ",  -   ,  -   ,,23700,NEW SODHI,,RECD,,,
29/Apr/26,29/Apr/26,,TX271030000239,392240324856,ADARSH TRADERS,HOSHIARPUR,210,  2.97 ,,,,,,,,NEW SODHI,,,,,
29/Apr/26,29/Apr/26,,ST271030000007,332239938699,JAMMU CFA,JAMMU,598,  8.39 ,PB08CX5193,9,"  19,000 ",  -   ,  -   ,,23698,NEW SODHI,,RECD,,,
28/Apr/26,30/Apr/26,,TX271030000207,342240789810,MRS. BECTORS FOOD SPECIALITIES LTD,GHANOUR,89,  1.42 ,PB11BA-5983,1,  -   ,  -   ,  -   ,,23502,NEW SODHI,CLUB WITH LR23501,RECD,,,
29/Apr/26,30/Apr/26,,TX271030000237,372240788254,KITTY INDUSTRIES,LUDHIANA,193,  2.51 ,PB11BA-5983,3,"  1,350 ",  -   ,  -   ,,23504,NEW SODHI,,RECD,,,
27/Apr/26,30/Apr/26,,TX271030000217,302240795956,BHARAT BHUSHAN & SONS,MOGA,660,  8.99 ,PB10AR-9951,9,"  4,300 ",  700 ,  -   ,,23503,NEW SODHI,,RECD,,,
27/Apr/26,30/Apr/26,,TX271030000220,312240795959,ARORA FLOUR & OIL MILLS,PATHANKOT,510,  8.57 ,PB10CU-2684,9,"  8,500 ","  3,500 ",  -   ,,23509,NEW SODHI,,RECD,,,
29/Apr/26,1/May/26,,TX271030000232,302240932483,SATKARTAR TRADING CO.,JALANDHAR,72,  1.03 ,PB10GY-7337,3,"  2,500 ",  -   ,  320 ,,23507,NEW SODHI,CLUB WITH LR 23506,RECD,,,
28/Apr/26,1/May/26,,TX271030000226,362240939606,AVENUE SUPERMARTS LIMITED,JALANDHAR,64,  0.82 ,,,,,,,23506,NEW SODHI,CLUB WITH LR 23507,RECD,,,
29/Apr/26,30/Apr/26,,TX271030000233,382240934298,AVENUE SUPERMARTS LIMITED,ZIRAKPUR,105,  1.09 ,PB11BA-5983,1,"  3,600 ","  1,400 ",  525 ,,23501,NEW SODHI,CLUBE WITH LR 23502,RECD,,,
30/Apr/26,30/Apr/26,,TX271030000253,382241026974,MITTAL SALE CORPORATION,JALANDHAR,660,  8.99 ,JK08A-7909,9,"  4,400 ",  600 ,  -   ,,23510,NEW SODHI,,RECD,,,
30/Apr/26,30/Apr/26,,TX271030000263,352241028629,MITTAL SALE CORPORATION,JALANDHAR,25,  0.26 ,,,,,,,,NEW SODHI,,,,,
27/Apr/26,30/Apr/26,,TX271030000219,392241491159,RALLA RAM DEV RAJ,DINA NAGAR,25,  0.33 ,PB06G-2315,6,"  6,100 ","  2,400 ","  2,400 ",,23512,NEW SODHI,,RECD,,,
29/Apr/26,30/Apr/26,,TX271030000243,392241319116,RALLA RAM DEV RAJ,DINA NAGAR,83,  1.08 ,,,,,,,,NEW SODHI,,,,,
29/Apr/26,30/Apr/26,,TX271030000242,302241319726,RALLA RAM DEV RAJ,DINA NAGAR,190,  1.60 ,,,,,,,,NEW SODHI,,,,,
30/Apr/26,30/Apr/26,,TX271030000248,332241320941,RALLA RAM DEV RAJ,DINA NAGAR,206,  2.99 ,,,,,,,,NEW SODHI,,,,,
30/Apr/26,1/May/26,,TX271030000250,322241534354,FLIPKART INDIA PVT LTD,LUDHIANA,41,  0.96 ,PB02BV-9960,3,"  1,350 ",  -   ,"  1,025 ",,23513,NEW SODHI,,RECD,,,
30/Apr/26,1/May/26,,TX271030000255,322241534987,FLIPKART INDIA PVT LTD,LUDHIANA,37,  1.00 ,,,,,,,,NEW SODHI,,,,,
30/Apr/26,1/May/26,,TX271030000254,352241535679,FLIPKART INDIA PVT LTD,LUDHIANA,35,  1.03 ,,,,,,,,NEW SODHI,,,,,
27/Apr/26,2/May/26,,TX271030000206,392240995793,AVENUE SUPERMARTS LIMITED,LUDHIANA,60,  0.88 ,PB02BV-9960,1,"  1,000 ",,  300 ,,23505,NEW SODHI,,RECD,,,
30/Apr/26,1/May/26,,TX271030000267,312241576197,M.S AGRO FOODS,AMRITSAR,124,  2.10 ,PB02L-9611,3,"  4,044 ",  456 ,  -   ,,23514,NEW SODHI,,RECD,,,
30/Apr/26,1/May/26,,TX271030000268,352241603301,SAI ENTERPRISES,RAMPURA,225,  3.06 ,PB05AS-3153,3,"  3,300 ",  -   ,  -   ,,23515,NEW SODHI,,RECD,,,
30/Apr/26,1/May/26,,TX271030000270,312241609930,S S CORPORATION,LUDHIANA,25,  0.44 ,PB10HL-0339,1,"  1,000 ",  -   ,  -   ,,23516,NEW SODHI,,RECD,,,
30/Apr/26,1/May/26,,TX271030000256,322241610766,S S CORPORATION,LUDHIANA,15,  0.29 ,,,,,,,,NEW SODHI,,,,,
30/Apr/26,1/May/26,,TX271030000259,352241796768,BHARAT BHUSHAN & SONS,MOGA,620,  8.99 ,PB10AR-9951,9,"  4,300 ",  700 ,  -   ,,23518,NEW SODHI,,RECD,,,
30/Apr/26,1/May/26,,TX271030000258,352241795103,RALLA RAM DEV RAJ,DINA NAGAR,360,  6.05 ,PB10FV-3689,9,"  7,700 ","  3,800 ",  -   ,,23519,NEW SODHI,CLUBE WITH LR 23517,RECD,,,
29/Apr/26,1/May/26,,TX271030000236,352241798850,VIJAY KUMAR SUSHIL KUMAR,GURDASPUR,120,  2.02 ,,,,,,,23517,NEW SODHI,CLUBE WITH LR 23519,RECD,,,
29/Apr/26,1/May/26,,TX271030000234,392241800582,VIJAY KUMAR SUSHIL KUMAR,GURDASPUR,70,  1.01 ,,,,,,,,NEW SODHI,,,,,
29/Apr/26,1/May/26,,TX271030000244,392241801473,VIJAY KUMAR SUSHIL KUMAR,GURDASPUR,2,  0.17 ,,,,,,,,NEW SODHI,,,,,
29/Apr/26,1/May/26,,TX271030000241,372241811322,ARORA FLOUR & OIL MILLS,PATHANKOT,270,  3.07 ,PB08FB-4399,3,"  5,100 ",  900 ,  -   ,,23508,NEW SODHI,,RECD,,,
30/Apr/26,30/Apr/26,,TX271030000249,332241024720,SCOOTSY LOGISTICS PRIVATE LIMITED,BANUR,211,  5.86 ,PB10FV-3689,6,"  4,300 ","  1,700 ","  2,746 ",,23511,NEW SODHI,,RECD,,,
30/Apr/26,2/Apr/26,,TX271030000252,302242280968,BILINK COMARCE,LUDHIANA,39,  1.00 ,PB10GY-7337,1,"  1,000 ",  -   ,  340 ,,23526,NEW SODHI,,RECD,,,
30/Apr/26,2/Apr/26,,TX271030000251,372242281818,BILINK COMARCE,SAMBHU,41,  0.98 ,PB10JP8564,3,"  3,400 ","  1,100 ",  330 ,,23525,NEW SODHI,CLUBE WITH LR 23523,RECD,,,
30/Apr/26,2/Apr/26,,TX271030000247,322242285844,AVENUE SUPERMARTS LIMITED,MOHALI,31,  0.38 ,,,,,  755 ,,23523,NEW SODHI,CLUBE WITH LR 23522,RECD,,,
30/Apr/26,2/Apr/26,,TX271030000246,362242286414,AVENUE SUPERMARTS LIMITED,MOHALI,120,  1.34 ,,,,,,,23522,NEW SODHI,CLUBE WITH LR 23525,RECD,,,
