,,,,,,,"  46,901 ",  659.20 ,,,"  688,810 ","  138,240 ","  72,476 ","  17,000 ",,"  916,526 ",,,,,
Bill Date,Dispatch Date,Delay,INVOICE NO,E-Waybill Number,Party Name,Town,Case, Net Weight in MT,Vehicle Number,Vehicle Type, Freight, Extra Freight, Labour, Detention,LR no.,Transport Name,Remarks,Acknwoledgement Status,,,
7/Apr/26,8/Apr/26,1,TX271030000032,342225764030,S S CORPORATION,LUDHIANA,73,  0.74 ,PB10HL0339,,,,,,,NEW SODHI,,,,,
7/Apr/26,8/Apr/26,1,TX271030000031,382226011742,VIJAY KUMAR SUSHIL KUMAR,GURDASPUR,230,  2.99 ,PB10JP8564,3,"  4,500 ","  1,500 ",  -   ,,17418,NEW SODHI,,RECD,,,
8/Apr/26,9/Apr/26,1,TX271030000033,392226753087,AMAR SHIV SHAKTI TRADERS,SAMANA,340,  5.71 ,PB65K0485,9,"  6,500 ","  1,500 ",  -   ,,17419,NEW SODHI,,RECD,,,
9/Apr/26,9/Apr/26,0,TX271030000042,302226754195,AMAR SHIV SHAKTI TRADERS,SAMANA,260,  4.37 ,PB65K0485,,,,,,,NEW SODHI,,,,,
8/Apr/26,8/Apr/26,0,TX271030000034,362226002302,M.S AGRO FOODS,AMRITSAR,438,  6.02 ,PB10BC3654,6,"  5,300 ","  2,700 ",  -   ,,17416,NEW SODHI,,RECD,,,
8/Apr/26,8/Apr/26,0,TX271030000035,342226017719,AVENUE SUPERMARTS LTD,JALANDHAR,66,  0.99 ,PB10DZ6724,1,"  1,800 ",  400 ,  330 ,,23601,NEW SODHI,,RECD,,,
8/Apr/26,8/Apr/26,0,TX271030000036,372226030492,AVENUE SUPERMARTS LIMITED,MOHALI,10,  0.17 ,PB13BJ8772 ,3,"  2,900 ",  700 ,  610 ,,23602,NEW SODHI,,RECD,,,
8/Apr/26,8/Apr/26,0,TX271030000039,352226032038,AVENUE SUPERMARTS LIMITED,MOHALI,72,  1.73 ,PB13BJ8772 ,,,,,,,NEW SODHI,,,,,
8/Apr/26,8/Apr/26,0,ST271030000002,382225897510,JAMMU CFA,JAMMU,593,  8.25 ,JK21F7011,9,"  19,000 ",  -   ,  -   ,,17414,NEW SODHI,,RECD,,,
8/Apr/26,8/Apr/26,0,TX271030000037,382226197141,AVENUE SUPERMARTS LIMITED,BANUR,28,  0.50 ,CH01TB5273,1,"  2,300 ",  500 ,  175 ,,23603,NEW SODHI,,RECD,,,
8/Apr/26,9/Apr/26,1,TX271030000040,302226751068,OM PRAKASH DEV RAJ,JALANDHAR,230,  3.02 ,PB11CN8710,9,"  4,400 ",  600 ,  -   ,,17420,NEW SODHI,,RECD,,,
9/Apr/26,9/Apr/26,0,TX271030000043,302226749753,OM PRAKASH DEV RAJ,JALANDHAR,435,  6.05 ,PB11CN8710,,,,,,,NEW SODHI,,,,,
8/Apr/26,9/Apr/26,1,TX271030000041,352226984940,M.S AGRO FOODS,AMRITSAR,368,  3.21 ,PB02L9611,3,"  4,044 ",  456 ,  -   ,,17422,NEW SODHI,,RECD,,,
9/Apr/26,9/Apr/26,0,TX271030000044,302226983575,M.S AGRO FOODS,AMRITSAR,500,  8.40 ,PB10FV3689,9,"  6,550 ","  2,450 ",  -   ,,17421,NEW SODHI,,RECD,,,
9/Apr/26,13/Apr/26,4,TX271030000045,382228228650,M.S AGRO FOODS,AMRITSAR,61,  1.02 ,PB06G2315,1,"  2,800 ",  400 ,  -   ,,17429,NEW SODHI,,RECD,,,
9/Apr/26,10/Apr/26,1,TX271030000046,302227582537,MITTAL SALE CORPORATION,JALANDHAR,217,  3.00 ,PB06G2315,6,"  3,500 ",  500 ,  -   ,,17425,NEW SODHI,Club With LR 17424,RECD,,,
9/Apr/26,10/Apr/26,1,TX271030000048,312227575668,SATKARTAR TRADING CO.,JALANDHAR,4,  0.04 ,PB06G2315,,,,,,17424,NEW SODHI,Club With LR 17425,RECD,,,
9/Apr/26,10/Apr/26,1,TX271030000049,392227578872,SATKARTAR TRADING CO.,JALANDHAR,186,  2.67 ,PB06G2315,,,,,,,NEW SODHI,Club With LR 17425,,,,
10/Apr/26,10/Apr/26,0,ST271030000003,362227565338,JAMMU CFA,JAMMU,574,  7.36 ,JK08A7909,9,"  19,000 ",  -   ,  -   ,,17423,NEW SODHI,,RECD,,,
10/Apr/26,10/Apr/26,0,TX271030000050,392227593268,ARORA FLOUR & OIL MILLS,PATHANKOT,820,  8.74 ,PB10FV3689,9,"  8,500 ","  3,500 ",  -   ,,17426,NEW SODHI,,RECD,,,
