,,,,,,,"  86,205 ","  1,200.77 ",,,"  822,384 ","  199,061 ","  105,871 ","  7,000 ",,"  1,134,315 ",,,
Bill Date,Dispatch Date,Delay,Invoice Number,E Waybill Number,Party Name,Town,Case, Net Weight in MT,Vehicle Number,Vehicle Type, Freight, Extra Freight, Labour, Detention,LR no.,Transport Name,Remarks,Acknwoledgement Status,
15/Apr/26,15/Apr/26,,8631930696,302230355265,PARSHOTAM SINGH SAWRAN SINGH ,PHAGWARA,50,  0.84 ,HP836748,,,,,,23044,Aman Road,Club With 23043,RECD,
15/Apr/26,15/Apr/26,,8631930697,332230378568,BHARAT BHUSHAN & SONS,Moga,650,  10.21 ,PB10GW6019,14,"  6,721 ","  1,979 ",  -   ,,23045,Aman Road,Club With 23057,RECD,
15/Apr/26,15/Apr/26,,8631930723-24,312230629598-342230630458,AMAN TRADING CO,Moga,205,  3.08 ,PB10GW6019,,,,  -   ,,23057,Aman Road,Club With 23045,RECD,
15/Apr/26,15/Apr/26,,8631930700-01-02,372230400553-392230401549-332230403097,AVENUE SUPERMARTS LTD.,ZIRAKPUR,194,  2.59 ,PB10FF3278,3,"  3,340 ",  460 ,  970 ,,23046,Lord Krishna,,RECD,
15/Apr/26,15/Apr/26,,8631930703,322230411109,RELIANCE RETAIL LTD,SAMBHU,644,  8.08 ,PB11BN9715,20,"  6,415 ",  -   ,"  1,290 ",,23047,Nice Transport,,RECD,
15/Apr/26,17/Apr/26,,8631930704-05,352230418662-342230420028,AVENUE SUPERMARTS LTD.,LUDHIANA,113,  1.61 ,PB10JR5386,3,"  1,200 ",  800 ,  565 ,,23048,Aman Road,,Pending,
15/Apr/26,15/Apr/26,,8631930706,392230438930,AIRPLAZA RETAIL HOLDING,MOHALI,200,  3.36 ,PB10JR5386,3,"  2,721 ","  1,579 ",  600 ,,23049,Aman Road,,Pending,
15/Apr/26,15/Apr/26,,8631930707,342230441805,AIRPLAZA RETAIL HOLDING,LUDHIANA,200,  3.36 ,PB10FF1166,3,"  1,344 ",  856 ,  600 ,,23050,Aman Road,,RECD,
15/Apr/26,15/Apr/26,,8631930708,382230449489,AIRPLAZA RETAIL HOLDING,NABHA,200,  3.36 ,PB10KJ8947,3,"  3,200 ",  -   ,  700 ,,23051,Aman Road,,RECD,
15/Apr/26,16/Apr/26,,8631930709-10,312230463459-322230464398,AIRPLAZA RETAIL HOLDING,LUDHIANA,200,  3.36 ,PB10FF1166,3,"  1,344 ",  956 ,  800 ,,23052,Aman Road,,RECD,
15/Apr/26,15/Apr/26,,8631930711,382230468062,MANGAT RAI & SONS,DHARAMKOT,194,  3.10 ,PB10HY1266,6,"  4,021 ","  1,779 ",  600 ,,23053,Aman Road,Club With 23054,Pending,
15/Apr/26,15/Apr/26,,8631930712,362230470090,AIRPLAZA RETAIL HOLDING,MOGA,200,  3.36 ,PB10HY1266,,,,,,23054,Aman Road,Club With 23053,Pending,
15/Apr/26,15/Apr/26,,8631930713,312230473771,AIRPLAZA RETAIL HOLDING,KHARAR,400,  6.72 ,HP836748,7,"  4,079 ","  2,421 ","  1,200 ",,23055,Aman Road,,RECD,
15/Apr/26,16/Apr/26,,8631930726,372230635704,AIRPLAZA RETAIL HOLDING,KHANNA,200,  3.36 ,PB10JR5386,3,"  1,870 ",  730 ,  400 ,,23056,Aman Road,,Pending,
15/Apr/26,16/Apr/26,,8631930728,342230640770,SUBHASH CHANDER JIWAN KUMAR,MULLANPUR,180,  3.02 ,PB10GY7337,3,"  1,374 ",  -   ,  -   ,,23058,Self,,RECD,
15/Apr/26,15/Apr/26,,8631930731,322230647155,EKAM TRADING CO,LUDHIANA,22,  0.45 ,PB10HQ7343,1,  500 ,  -   ,  -   ,,23059,Self,,RECD,
15/Apr/26,15/Apr/26,,8631930733,392230656561,JALANDHAR AGENCIES,JALLANDHAR,125,  1.83 ,PB08DS6626,3,"  2,125 ",  675 ,  -   ,,23060,Aman Road,Club With 23063,Pending,
15/Apr/26,15/Apr/26,,8631930738,322230674294,BIHARI LAL AMRIT PAUL,JALLANDHAR,32,  0.69 ,PB08DS6626,,,,,,23063,Aman Road,Club With 23060,Pending,
15/Apr/26,15/Apr/26,,8631930734,322230661481,VIJAY AGENCIES,NAKODAR,125,  1.61 ,PB03BZ8039,2,"  1,296 ",  -   ,  -   ,,23061,Self,,RECD,
15/Apr/26,16/Apr/26,,8631930737,332230670732,PARSHOTAM LAL VISHWA NATH,JALLANDHAR,200,  3.00 ,PB08DS6626,3,"  2,125 ",  675 ,  -   ,,23062,Aman Road,,Pending,
16/Apr/26,16/Apr/26,,8631930776-77-78,332231426048-302231427761-322231428898,AVENUE SUPERMARTS LTD.,PHAGWARA,147,  2.03 ,PB10FF1166,3,"  1,820 ",  480 ,  735 ,,23066,Aman Road,,RECD,
16/Apr/26,16/Apr/26,,8631930779,342231431438,RELIANCE RETAIL LTD,BASSI-PATHANA,500,  5.46 ,PB07X9469,9,"  3,475 ","  3,525 ","  1,500 ","  1,000 ",23071,Aman Road,Holtage 1 Day,RECD,
16/Apr/26,17/Apr/26,,8631930773-74,342231404034-382231405042,SHIV SHAKTI ENTERPRISES,RAJPURA,375,  4.54 ,PB23J5497,20,"  3,730 ",  770 ,  -   ,,23064,Nice Transport,,RECD,
16/Apr/26,16/Apr/26,,8631930786-788,362231461080-362231464849,AVENUE SUPERMARTS LTD.,SAHNEWAL,89,  1.31 ,PB02BV9960,3,"  1,290 ","  1,710 ",  445 ,,23067,New Sodhi,,RECD,
16/Apr/26,16/Apr/26,,8631930790-91,332231470566-372231471590,AVENUE SUPERMARTS LTD.,LUDHIANA,90,  1.20 ,PB02BV9960,3,,,  450 ,,23068,New Sodhi,,RECD,
16/Apr/26,17/Apr/26,,8631930781-82-83,372231439684-352231441092-332231441814,AVENUE SUPERMARTS LTD.,PATIALA,200,  2.59 ,PB10JR5386,3,"  2,630 ",  670 ,"  1,600 ",,23065,Aman Road,,RECD,
16/Apr/26,16/Apr/26,,8631930793,302231477724,JAGDISH MITTER HARBINDER PAL,MAKHU,180,  2.95 ,HP836748,7,"  5,075 ","  1,025 ",  -   ,,23069,Aman Road,Club With 23070 &  23072,RECD,
16/Apr/26,16/Apr/26,,8631930794,372231478393,HARBANS LAL & SONS,MAKHU,11,  0.18 ,HP836748,,,,,,23070,Aman Road,Club With 23069 &  23072,RECD,
16/Apr/26,16/Apr/26,,8631930795,322231479487,AMAN TRADING CO,MOGA,210,  3.04 ,HP836748,,,,,,23072,Aman Road,Club With 23070 &  23069,RECD,
17/Apr/26,18/Apr/26,,8631930826,382231967779,LOVELY SWEETS,JALLANDHAR,500,  8.03 ,PB07X9469,9,"  4,555 ","  1,245 ",  -   ,,23073,Aman Road,,RECD,
17/Apr/26,17/Apr/26,,8631930828-29,312232054248-322232055819,AVENUE SUPERMARTS LTD.,ZIRAKPUR,303,  3.88 ,PB10CC6921,5,"  4,320 ","  1,880 ","  1,515 ",,23074,Aman Road,,Pending,
17/Apr/26,17/Apr/26,,8631930830-31-32-34-35-36,382232064826-322232066572-302232069041-372232071188-382232071842-362232072708,RELIANCE RETAIL LTD,SAMBHU,740,  10.20 ,PB11CB2467,15,"  7,270 ",  -   ,"  1,480 ",,23075,Nice Transport,,RECD,
17/Apr/26,17/Apr/26,,8631930839-843-845,362232088271-382232126577-332232130151,AVENUE SUPERMARTS LTD.,JALLANDHAR,264,  3.91 ,HP836748,7,"  2,765 ","  1,735 ","  1,320 ",,23076,Aman Road,,RECD,
17/Apr/26,17/Apr/26,,8631930844-46,352232129858-322232133821,SUKHDEEP ENTERPRISES,NADALA,108,  1.81 ,PB09M9496,3,"  1,629 ",  -   ,  -   ,,23077,Self,,RECD,
18/Apr/26,18/Apr/26,,8631930864,302232673024,SUBHASH CHANDER JIWAN KUMAR,MULLANPUR,324,  3.09 ,PB10FF1166,3,"  1,445 ",  255 ,  -   ,,23078,Aman Road,,RECD,
18/Apr/26,19/Apr/26,,8631930867-68-69,322232790246-342232791104-312232791907,RELIANCE RETAIL LTD,BASSI-PATHANA,689,  9.07 ,PB10GW6019,14,"  4,400 ","  2,600 ","  1,842 ",,23079,Aman Road,,RECD,
18/Apr/26,18/Apr/26,,8631930870,362232823841,JATINDRA FEED STORE,BASSI-PATHANA,225,  3.19 ,PB10KJ8947,3,"  2,800 ",  700 ,  -   ,,23080,Aman Road,,Pending,
18/Apr/26,19/Apr/26,,8631930872-73,352232832969-392232834305,AVENUE SUPERMARTS LTD.,LUDHIANA,134,  1.81 ,PB10GY7337,3,"  1,200 ",  300 ,  670 ,,23081,New Sodhi,,RECD,
18/Apr/26,18/Apr/26,,831930876-77,342232869753-382232871437,AVENUE SUPERMARTS LTD.,AMRITSAR,203,  3.00 ,PB10JR5386,3,"  4,800 ",  -   ,"  1,015 ",,23082,Aman Road,,Pending,
20/Apr/26,20/Apr/26,,8631930880,322233675773,LEKH RAJ & BROTHERS,NAWASAHAR,450,  6.13 ,PB07X9469,9,"  3,350 ","  1,150 ",  -   ,,23083,Aman Road,,RECD,
20/Apr/26,21/Apr/26,,8631930881-97,392233684374-342233763061,SUBHASH CHANDER JIWAN KUMAR,MULLANPUR,573,  9.97 ,PB10GW6019,14,"  4,200 ",  -   ,  -   ,,23084,Aman Road,,RECD,
20/Apr/26,20/Apr/26,,8631930882-83-84,392233691105-372233689753-372233692285,AVENUE SUPERMARTS LTD.,MOHALI,168,  2.25 ,PB10JR5386,3,"  2,430 ","  1,570 ",  840 ,,23085,Aman Road,,RECD,
20/Apr/26,20/Apr/26,,8631930885-87-89-90-91-93-94-96,342233699810-322233704262-362233708505-302233710375-392233713454-332233721149-392233723718-342233760835,MORE RETAIL LTD,BASSI-PATHANA,307,  3.96 ,PB06G2315,6,"  3,160 ",  640 ,  767 ,,23086,New Sodhi,,RECD,
20/Apr/26,20/Apr/26,,8631930898,302233776760,SURINDER KUMAR BHARAT BHUSHAN,PHAGWARA,612,  9.68 ,PB10JK6861,9,"  3,410 ","  1,890 ",  -   ,,23087,Aman Road,,RECD,
20/Apr/26,21/Apr/26,,8631930900,352233779566,KHUSHI RAM RAJ PAL JAIN,HOSHIARPUR,330,  5.18 ,PB07AS6258,9,"  3,307 ",  -   ,  -   ,,23088,SELF,,RECD,
20/Apr/26,20/Apr/26,,8631930901,302233794861,D.K. TRADING CO,PHAGWARA,312,  4.67 ,HP836748,7,"  2,280 ","  1,720 ",  -   ,,23089,Aman Road,,RECD,
20/Apr/26,21/Apr/26,,8631930903,312233803409,MAHAVIR TRADING CO,MULLANPUR,215,  2.55 ,PB11CN8710,12,"  4,575 ",  725 , -,,23090,New Sodhi,Club With 23093 (925 Labour Main Dal Gaye The But Actual Extra Frieght Main Dalne The),RECD,Combine With Cargill
20/Apr/26,21/Apr/26,,8631930923,342233889929,KARAM CHAND & SONS,MOGA,535,  6.49 ,PB11CN8710,,,,,,23093,New Sodhi,Club With 23090,RECD,Combine With Cargill
20/Apr/26,20/Apr/26,,8631930918,352233850382,BHARAT BHUSHAN & SONS,MOGA,614,  9.50 ,PB08BB9296,10,"  4,810 ",  690 ,  -   ,,23091,New Sodhi,,RECD,
20/Apr/26,20/Apr/26,,8631930921,362233876592,TULSI RAM RAKHA MAL,LUDHIANA,203,  2.13 ,PB10FF1166,3,"  1,200 ",  300 ,  -   ,,23092,Aman Road,,RECD,
21/Apr/26,21/Apr/26,,8631930982-83,302234455769-332234457496,AVENUE SUPERMARTS LTD.,JALLANDHAR,121,  1.60 ,PB08DS6626,3,"  2,125 ",  675 ,  605 ,,23094,Aman Road,CLUB WITH 23098,Pending,
21/Apr/26,21/Apr/26,,8631930994-95,362234515904-332234516700,SURINDER KUMAR BHARAT BHUSHAN,PHAGWARA,11,  0.15 ,PB08DS6626,3,,,,,23098,Aman Road,CLUB WITH 23094,Pending,
21/Apr/26,21/Apr/26,,8631930985-86-87,322234463531-382234464392-362234465018,AVENUE SUPERMARTS LTD.,BANUR,195,  2.30 ,PB11CB2467,15,"  5,420 ",  580 ,  975 ,,23095,Nice Transport,CLUB WITH 23096,RECD,
21/Apr/26,21/Apr/26,,863193088-89-90,342234473060-392234473515-392234475342,RELIANCE RETAIL LTD,BASSI-PATHANA,320,  3.43 ,PB11CB2467,15,,,  960 ,,23096,Nice Transport,CLUB WITH 23095,RECD,
21/Apr/26,21/Apr/26,,8631930991-92,302234483195-302234483898,AVENUE SUPERMARTS LTD.,GOBINDGARH,168,  2.62 ,PB10JR5386,3,"  1,745 ","  1,055 ",  840 ,,23097,Aman Road,,RECD,
21/Apr/26,21/Apr/26,,8631930997,322234533412,BHARAT BHUSHAN & SONS,MOGA,180,  3.15 ,PB10GW6019,14,"  5,315 ","  2,185 ",  -   ,,23099,Aman Road,CLUB WITH 23100,Pending,
21/Apr/26,21/Apr/26,,8631930998,392234536610,ISHWER CHAND & SONS,NIHAL-SINGH-WALA,365,  5.88 ,PB10GW6019,,,,,,23100,Aman Road,CLUB WITH 23099,Pending,
21/Apr/26,21/Apr/26,,8631931010,332234633265,OM PARKASH MEHTA AND BROTHERS,ANANDPUR,230,  3.20 ,PB13BV7172,3,"  2,900 ","  1,600 ",  -   ,,23101,New Sodhi,,RECD,
21/Apr/26,21/Apr/26,,8631931011,332234637171,JALANDHAR AGENCIES,JALLANDHAR,200,  2.97 ,PB02BV9960,3,"  2,125 ",  375 ,  -   ,,23102,New Sodhi,,RECD,
21/Apr/26,22/Apr/26,,8631931028-29,322234843030-302234843894,RAJ MATA ENTERPRISES,JALLANDHAR,495,  6.95 ,HP836748,7,"  4,220 ",  780 ,  -   ,,23106,Aman Road,,Pending,
22/Apr/26,22/Apr/26,,8631931044-46-48,382235249321-322235250635-332235251532,AVENUE SUPERMARTS LTD.,LUDHIANA,105,  1.42 ,PB10CZ1968,3,"  1,200 ",  100 ,  525 ,,23103,New Sodhi,,RECD,
22/Apr/26,22/Apr/26,,8631931049,302235252200,ASHISH TRADING CO,MULLANPUR,200,  3.00 ,PB10HZ5024,3,"  1,374 ",  -   ,  -   ,,23104,SELF,,RECD,
22/Apr/26,22/Apr/26,,8631931050-51,332235257811-382235258679,AVENUE SUPERMARTS LTD.,PATIALA,140,  1.68 ,PB10JR5386,3,"  2,630 ",  370 ,  700 ,,23105,Aman Road,,RECD,
22/Apr/26,22/Apr/26,,8631931058-59-60-61-62,312235338909-362235340095-352235343062-352235343608-382235345702,AVENUE SUPERMARTS LTD.,JALLANDHAR,306,  3.91 ,HP836748,7,"  2,770 ","  1,730 ","  1,530 ",,23107,Aman Road,,RECD,
22/Apr/26,22/Apr/26,,8631931065,332235386298,ASHOK KUMAR GUPTA & CO,LUDHIANA,200,  3.00 ,PB10FF1166,3,"  1,200 ",  500 ,  -   ,,23108,Aman Road,,Pending,
22/Apr/26,22/Apr/26,,8631931074,342235436468,KARAM CHAND & SONS,MOGA,651,  6.13 ,PB10GW6019,14,"  4,555 ","  1,545 ",  -   ,,23109,Aman Road,CLUB WITH 23111,Pending,
22/Apr/26,22/Apr/26,,8631931087,342235516898,SUBHASH CHANDER JIWAN KUMAR,MULLANPUR,291,  3.03 ,PB10GW6019,14,,,,,23111,Aman Road,CLUB WITH 23109,Pending,
22/Apr/26,23/Apr/26,,8631931083,362235489356,ASHOK KUMAR PARSHOTAM DASS,BATHINDA,214,  3.14 ,PB31Y4839,3,"  4,500 ",  -   ,  -   ,,23110,New Sodhi,,RECD,
22/Apr/26,23/Apr/26,,8631931086,332235510350,GARG BROTHERS,KOTKAPURA,204,  2.90 ,PB05AS3153,3,"  3,800 ",  -   ,  -   ,,23112,New Sodhi,,RECD,
23/Apr/26,24/Apr/26,,8631931114,332236013324,AMAN TRADING CO,MOGA,210,  3.32 ,PB03H1131,3,"  2,270 ",  330 ,  -   ,,23113,New Sodhi,,Pending,
23/Apr/26,23/Apr/26,,8631931116-17-18-19-20-21-22-23,392236080454-332236081321-332236083369-382236084198-302236086947-352236088993-392236090086-352236092572,RELIANCE RETAIL LTD,SAMBHU,390,  5.65 ,HR37F8346,15,"  5,000 ",  660 ,  780 ,"  1,000 ",23114,DELUXE,Holtage 1 Day,RECD,
23/Apr/26,23/Apr/26,,8631931125,352236112531,EKAM TRADING CO,LUDHIANA,20,  0.39 ,PB10HQ7343,3,  500 ,  -   ,  -   ,,23115,SELF,,RECD,
23/Apr/26,23/Apr/26,,8631931126,332236118674,KRISHNA TRADERS,LUDHIANA,185,  3.05 ,PB10FF1166,3,"  1,200 ",  600 ,  -   ,,23116,AMAN ROAD,,Pending,
23/Apr/26,23/Apr/26,,8631931127,382236129428,CHAUDHARY BROTHERS,KHAMANO,148,  2.06 ,PB10JR5386,3,"  2,120 ",  680 , -,,23117,AMAN ROAD,CLUB WITH 23118,Pending,
23/Apr/26,23/Apr/26,,8631931128,302236128801,CHAUDHRIAN DI HATTI,KHAMANO,80,  1.04 ,PB10JR5386,3,,,,,23118,AMAN ROAD,CLUB WITH 23117,Pending,
24/Apr/26,24/Apr/26,,8631931156,332236613687,BUNGE INDIA PVT LTD,MANDI-DEPOT,745,  8.99 ,HP24A7714,10,"  16,000 ",  -   ,  -   ,,23119,New Sodhi,,RECD,
24/Apr/26,24/Apr/26,,8631931157-58-59-60,312236667196-382236667689-332236669932-302236671136,RELIANCE RETAIL LTD,BASSI-PATHANA,364,  6.07 ,PB07X9469,9,"  3,840 ",  660 ,"  1,092 ",,23120,AMAN ROAD,,Pending,
24/Apr/26,24/Apr/26,,8631931162,332236697889,SUBHASH CHANDER TARUN KUMAR,NAWASAHAR,341,  3.67 ,HP836748,7,"  2,418 ","  1,582 ",  -   ,,23121,AMAN ROAD,Floopy Stock,Pending,
24/Apr/26,24/Apr/26,,8631931163-64,392236703423-322236704029,WAL-MART INDIA PVT LTD,LUDHIANA,100,  1.68 ,PB10FF1166,3,"  1,200 ",  -   ,  200 ,,23122,AMAN ROAD,,Pending,
24/Apr/26,24/Apr/26,,8631931167,342236844644,LEKH RAJ & BROTHERS,NAWASAHAR,220,  2.99 ,PB10JR5386,3,"  1,975 ",  825 ,  -   ,,23124,AMAN ROAD,,Pending,
24/Apr/26,24/Apr/26,,8631931176,302236926700,PARSHOTAM SINGH SAWRAN SINGH ,PHAGWARA,630,  10.21 ,PB10JK6861,9,"  3,620 ","  1,980 ",  -   ,,23123,AMAN ROAD,,Pending,
24/Apr/26,25/Apr/26,,8631931178-77,382236928867-392236928378,METRO CASH & CARRY,ZIRAKPUR,533,  7.47 ,PB02BY9401,9,"  6,415 ",,"  1,333 ","  1,000 ",23125,Nice Transport,Holtage 1 Day,RECD,
24/Apr/26,25/Apr/26,,8631931185,362236997535,RAJESH TRADING CO,JAHLERA,750,  9.75 ,HP72B3220,9,"  9,500 ",  -   ,  -   ,,23126,New Sodhi,,RECD,
24/Apr/26,26/Apr/26,,8631931193,342237020128,NARINDER PAL & SONS,KHALRA,378,  3.40 ,PB10JP8564,3,"  6,000 ",  -   ,  -   ,,23127,New Sodhi,,RECD,
25/Apr/26,25/Apr/26,,8631931210-25,312237474665-342237664108,S.R.N TRADERS,LUDHIANA,300,  4.50 ,HP836748,3,"  1,500 ","  1,000 ",  -   ,,23128-34,AMAN ROAD,,Pending,Party IS same
25/Apr/26,25/Apr/26,,8631931213-14,332237490203-312237492261,AVENUE SUPERMARTS LTD.,JALLANDHAR,120,  1.58 ,PB08DS6626,3,"  2,125 ",  875 ,  600 ,,23130,AMAN ROAD,,Pending,
25/Apr/26,25/Apr/26,,8631931212-211,322237489422-362237488517,AVENUE SUPERMARTS LTD.,LUDHIANA,112,  1.68 ,PB10JP8564,3,  -   ,  -   ,  560 ,,23129,New Sodhi,CLUB WITH 23132,RECD,
25-04-26,25/Apr/26,,8631931220-19-18,312237512824-332237512114-372237511407,AVENUE SUPERMARTS LTD.,LUDHIANA,86,  1.24 ,PB10JP8564,3,"  1,200 ","  1,000 ",  430 ,,23132,New Sodhi,CLUB WITH 23129,RECD,
25/Apr/26,25-04-26,,8631931215-16-17,322237498642-312237499741-392237500964,AVENUE SUPERMARTS LTD.,PHAGWARA,197,  2.80 ,PB10JR5386,3,"  1,820 ",  480 ,  985 ,,23131,AMAN ROAD,,Pending,
25/Apr/26,26/Apr/26,,8631931221,312237525736,BHARAT BHUSHAN & SONS,MOGA,573,  9.25 ,PB07X9469,9,"  4,680 ","  1,120 ",  -   ,,23133,AMAN ROAD,,Pending,
27/Apr/26,27/Apr/26,,8631931243-44,312238303818-362238303941,SURINDER KUMAR BHARAT BHUSHAN,PHAGWARA,220,  3.05 ,PB10JR5386,3,"  1,850 ",  450 ,  -   ,,23135,AMAN ROAD,,Pending,
27/Apr/26,27/Apr/26,,8631931247-50,352238465206-342238474887,ALWAR TRADERS,JALLANDHAR CANTT,220,  3.04 ,PB10JR5386,3,"  2,125 ",  675 ,  -   ,,23136,AMAN ROAD,,Pending,
27/Apr/26,27/Apr/26,,8631931248-49-51-52,332238473120-322238473891-372238475061-362238475857,MORE RETAIL LTD,BASSI-PATHANA,382,  4.94 ,HP836748,7,"  3,160 ","  1,340 ",  955 ,,23137,AMAN ROAD,,Pending,
27/Apr/26,28/Apr/26,,8631931253,372238583038,BALRAM SAHAI & SONS,AHMEDGARH,230,  2.99 ,PB02BV9960,3,"  1,870 ",  130 ,  -   ,,23138,New Sodhi,,RECD,
27/Apr/26,27/Apr/26,,8631931258,382238634540,OM PARKASH MEHTA AND BROTHERS,ANANDPUR,267,  3.16 ,PB11BA5983,3,"  2,960 ","  1,540 ",  -   ,,23139,New Sodhi,,RECD,
27-04-26,27/Apr/26,,8631931270,392238790407,LUXMI TRADERS,GARHSHANKAR,342,  5.75 ,PB10JK6861,9,"  3,605 ","  1,395 ",  -   ,,23140,AMAN ROAD,,Pending,
28/Apr/26,28/Apr/26,,8631931300-01,352239245339-392239237073,AVENUE SUPERMARTS LTD.,ZIRAKPUR,158,  2.00 ,PB19M2144,3,"  3,340 ",  460 ,  790 ,,23141,Lord Krishna,,RECD,
28/Apr/26,30/Apr/26,,8631931302-03-04,342239255111-352239256287-322239257140,AVENUE SUPERMARTS LTD.,LUDHIANA,104,  1.51 ,PB10JP8564,3,"  1,200 ",  300 ,  520 ,,23142,New Sodhi,,Pending,
28/Apr/26,28/Apr/26,,8631931305-08-09,322239260461-332239262910-362239263660,AVENUE SUPERMARTS LTD.,ZIRAKPUR,147,  1.87 ,PB10FF3278,3,"  3,340 ",  460 ,  735 ,,23143,Lord Krishna,,RECD,
28/Apr/26,28/Apr/26,,8631931310-11,322239283880-392239290696,SHIV SHAKTI ENTERPRISES,RAJPURA,615,  6.95 ,PB11BN9715,20,"  5,200 ",  -   ,  -   ,,23145,Nice Transport,,RECD,
28/Apr/26,28/Apr/26,,8631931312,392239299370,ASHISH TRADING CO,MULLANPUR,270,  4.54 ,PB06G2315,6,"  1,975 ",  825 ,  -   ,,23146,New Sodhi,,RECD,
28/Apr/26,28/Apr/26,,8631931307-13,302239262151-372239321565,AVENUE SUPERMARTS LTD.,JALLANDHAR,198,  2.52 ,HP836748,7,"  3,035 ","  1,765 ",  990 ,,23144,AMAN ROAD,CLIUB WITH 23148,Pending,
28/Apr/26,28/Apr/26,,8631931318-19,302239343922-312239344915,METRO CASH & CARRY,JALLANDHAR,225,  2.31 ,HP836748,7,,,  562 ,,23148,AMAN ROAD,CLIUB WITH 23144,Pending,
28/Apr/26,29/Apr/26,,8631931316-17,362239333880-392239339618,AVENUE SUPERMARTS LTD.,BARNALA,167,  2.18 ,PB13BP4857,5,  -   ,  -   ,  835 ,,23147,New Sodhi,CLUB WITH 23164,Pending,
28/Apr/26,29/Apr/26,,8631931320,362239347782,TULSI RAM RAKHA MAL,LUDHIANA,190,  2.98 ,PB10FF1166,3,"  1,200 ",  300 ,  -   ,,23149,AMAN ROAD,,Pending,
28/Apr/26,28/Apr/26,,8631931321-22,332239357849-372239367163,WAL-MART INDIA PVT LTD,LUDHIANA,200,  2.86 ,PB10JR5386,3,"  1,200 ",  800 ,  -   ,,23150,AMAN ROAD,,Pending,
28/Apr/26,28/Apr/26,,8631931338,302239422812,PARSHOTAM SINGH SAWRAN SINGH ,PHAGWARA,575,  9.50 ,PB07X9469,9,"  3,367 ","  1,933 ",  -   ,,23152,AMAN ROAD,,Pending,
28/Apr/26,30/Apr/26,,8631931330-32-34-35-37,362239417043-362239418257-392239419048-312239419958-3622394421367,AADHAAR RETAILING LTD,LUDHIANA,728,  10.66 ,PB11CN8710,10,"  2,960 ","  1,040 ","  1,456 ",,23151,New Sodhi,,Pending,
28/Apr/26,29/Apr/26,,8631931362,362239607909,KARAM CHAND & SONS,MOGA,660,  8.99 ,PB10AG6994,9,"  4,555 ",  845 ,  -   ,,23154,SELF,,RECD,
28/Apr/26,29/Apr/26,,8631931359,322239603088,KARAM CHAND & SONS,MOGA,245,  4.12 ,HP836748,7,"  3,250 ","  1,750 ",  -   ,,23153,AMAN ROAD,CLUB WITH 23155-56,Pending,
29/Apr/26,29/Apr/26,,8631931382,392239889663,CHANA TRADERS,MOGA,31,  0.32 ,HP836748,7,,,,,23156,AMAN ROAD,CLUB WITH 23153-55,Pending,
29/Apr/26,29/Apr/26,,8631931381,362239889581,AMAN TRADING CO,MOGA,70,  1.05 ,HP836748,7,,,,,23155,AMAN ROAD,CLUB WITH 23153-56,Pending,
29/Apr/26,29/Apr/26,,8631931384-87,332240043599-322240092712,CHAUDHRIAN DI HATTI,KHAMANO,390,  5.07 ,PB08BB9296,9,"  4,250 ","  1,950 ",  -   ,,23157,New Sodhi,CLUB WITH 23159,RECD,
29/Apr/26,29/Apr/26,,8631931388,342240095861,KAMAL ENTERPRISES,SAMRALA,232,  3.02 ,PB08BB9296,9,,,,,23159,New Sodhi,CLUB WITH 23157,RECD,
29/Apr/26,29/Apr/26,,8631931386,352240077297,BALWANT RAI KRISHAN LAL,LUDHIANA,700,  10.10 ,PB10GW6019,14,"  2,805 ","  1,195 ",  -   ,,23158,AMAN ROAD,,Pending,
29/Apr/26,29/Apr/26,,8631931389-90,322240108712-312240110996,AVENUE SUPERMARTS LTD.,JALLANDHAR,176,  2.34 ,PB08DS6626,3,"  2,125 ",  875 ,  880 ,,23160,AMAN ROAD,,RECD,
29/Apr/26,29/Apr/26,,8631931395-96,312240133104-322240133897,RELIANCE RETAIL LTD,BASSI-PATHANA,255,  2.50 ,PB10FF3278,3,"  2,600 ",  900 , -,,23162,LORD KRISHNA,Return Vechile,RECD,
29/Apr/26,30/Apr/26,,8631931398,372240146225,AIRPLAZA RETAIL HOLDING,NABHA,200,  3.36 ,PB10FF1166,3,"  3,300 ",  -   ,  700 ,,23163,AMAN ROAD,,Pending,
29/Apr/26,29/Apr/26,,831931391-92-93,352240113038-372240116286-312240117348,AVENUE SUPERMARTS LTD.,NAWASAHAR,132,  2.00 ,PB10FF1166,3,"  1,975 ",  825 ,  660 ,,23161,AMAN ROAD,,RECD,
29/Apr/26,30/Apr/26,,8631931403,332240178354,BRIJ LAL SOHAN LAL,BARNALA,271,  2.70 ,PB13BP4857,5,"  3,430 ","  1,570 ",  -   ,,23164,New Sodhi,CLUB WITH 23147,Pending,
29/Apr/26,30/Apr/26,,8631931414,392240224121,BALWANT RAI KRISHAN LAL,LUDHIANA,700,  10.00 ,PB08BB9296,9,"  2,780 ","  1,020 ",  -   ,,23166,New Sodhi,,Pending,
29/Apr/26,30/Apr/26,,8631931418,322240242560,AMAR SHIV SHAKTI TRADERS,SAMANA,860,  12.22 ,PB11CB2467,15,"  7,760 ",  385 ,  -   ,,23165,NICE TRANSPORT,,RECD,
29/Apr/26,30/Apr/26,,8631931417,332240284651,KARAM CHAND & SONS,MOGA,720,  10.10 ,PB11CN8710,10,"  5,111 ",  889 ,  -   ,,23167,New Sodhi,,Pending,
